,Total $BYTE,Total $Bit,Total XP,Total Playtime,Simulation Run,$BYTE/h,$Bit/h,XP/h
0,38490330,47421960,158050216,4660928,1,8.258082939706428,10.174360127425269,33.909602551251595
1,38475740,47363150,158002538,4662816,2,8.25161018577615,10.157627922697356,33.88564721404405
2,38511392,47435590,158132838,4664696,3,8.25592750309988,10.16906353597319,33.89992359630724
3,38457586,47401720,158078258,4663714,4,8.246128729163066,10.163942300063855,33.89535850611766
4,38503738,47416070,158155800,4666876,5,8.250430909242072,10.160130674138331,33.88900840733716
5,38493336,47405310,158135006,4666184,6,8.24942522626626,10.159331479427301,33.8895778649106
6,38496504,47409750,158145900,4667524,7,8.24773563028278,10.157366089601254,33.88218250190037
7,38442050,47406020,158184442,4669122,8,8.233250277032813,10.15309088089795,33.87884103263954
8,38533472,47419350,158095684,4663314,9,8.26310902504099,10.168594694674217,33.90200273882479
9,38500286,47424480,158162142,4665678,10,8.251809490496344,10.16454200225562,33.899069331402636
10,38520606,47402350,158128062,4666280,11,8.25509956539256,10.158488131873783,33.887392526809364
11,38489644,47383340,158124026,4668458,12,8.244616102361851,10.149676831193512,33.87071833997435
12,38526180,47460640,158197034,4664952,13,8.258644461936585,10.173875315330147,33.91182460183942
13,38488094,47493180,158318914,4668360,14,8.244457154118363,10.173418502429119,33.9131759333042
14,38452018,47389150,158085300,4665482,15,8.241810385293524,10.157396384767962,33.884023129871686
15,38546156,47520270,158350496,4668670,16,8.25634623993557,10.178545495826434,33.917688763609334
16,38560894,47493430,158295782,4667752,17,8.261127412081876,10.17479720430734,33.912637603711595
17,38541886,47482030,158323720,4669708,18,8.253596584625848,10.16809402215299,33.90441543668255
18,38468960,47399830,158130158,4667022,19,8.242720947105028,10.156333096351378,33.88245395029207
19,38550518,47482780,158273062,4666722,20,8.260727337090145,10.174760784979263,33.91525400484537
20,38529844,47496280,158359378,4669756,21,8.250933025194463,10.17104105653486,33.911702881264034
21,38585322,47547520,158397476,4668442,22,8.265138990695396,10.18487966649259,33.929408569282856
22,38479484,47443600,158229620,4667460,23,8.24420219991173,10.164757705475784,33.90058404356974
23,38519098,47413090,158114506,4664924,24,8.257175893969547,10.16374328927974,33.89433697097745
24,38507222,47446430,158226614,4667470,25,8.250127370931146,10.165342251798084,33.89986737997245
25,38489098,47381480,158083376,4665558,26,8.249623732038055,10.155586963017072,33.88305878953814
26,38532584,47487170,158234870,4664548,27,8.260732658341173,10.180444064462408,33.92287312725692
27,38510194,47422310,158115646,4663718,28,8.257401926960421,10.168348515068878,33.903346214329424
28,38520364,47469120,158273092,4668598,29,8.25094900010667,10.167746291284878,33.90163213881341
29,38492922,47433800,158175108,4666510,30,8.248760208378425,10.164726958690757,33.895803930560525
30,38506116,47417000,158158940,4666612,31,8.251407230770418,10.160904742026979,33.89159844443892
31,38463062,47487350,158271184,4666434,32,8.242495661569412,10.176368078922792,33.91694471624371
32,38429566,47402850,158151402,4668066,33,8.232438444529276,10.154708609518375,33.87942715462892
33,38508426,47448420,158253478,4669896,34,8.246099270733223,10.160487514068835,33.888009069152716
34,38470764,47373890,158040122,4663628,35,8.249106489625673,10.158162271947933,33.88780623154334
35,38451834,47470970,158327624,4672214,36,8.229895719673799,10.160273052561376,33.887065960591706
36,38385642,47394440,158141152,4667426,37,8.224156526530898,10.154299179033583,33.88187664892813
37,38485502,47445600,158243078,4667760,38,8.244961608994464,10.164532880867911,33.90128841242909
38,38581176,47551060,158368980,4666184,39,8.26825003043172,10.190566852914502,33.93972033678912
39,38548784,47524990,158390782,4671396,40,8.252090809685157,10.173616195244419,33.90652002099586
40,38552586,47510310,158322462,4668054,41,8.258813201389701,10.177755013116816,33.91615906756863
41,38484922,47492430,158350156,4671196,42,8.238772682627747,10.167081406988702,33.89927461832045
42,38489128,47346540,158029294,4666306,43,8.248307762071326,10.1464713201406,33.86603750375565
43,38459472,47387530,158056494,4663624,44,8.246692271932728,10.161095748713876,33.89134587179412
44,38475730,47356620,158041846,4665150,45,8.247479716622188,10.151146265393395,33.87711992111722
45,38450274,47407710,158134788,4667414,46,8.23802516768386,10.157168402031617,33.880600263872026
46,38471986,47379220,158041170,4664348,47,8.24809512497781,10.157736944155968,33.88279991115586
47,38514096,47434660,158140570,4664378,48,8.257070074509398,10.16955744152811,33.903892437534005
48,38480374,47412190,158220216,4671450,49,8.237351143649189,10.149351914287855,33.869615643964934
49,38568360,47454530,158240488,4668110,50,8.262093224024284,10.165683756381062,33.898191773544326
50,38510064,47493140,158303910,4667852,51,8.250061055920368,10.174517101227718,33.913652360871765
51,38460532,47369860,158055364,4666900,52,8.241130514902826,10.150176776875442,33.86731320576828
52,38600546,47497120,158289002,4666020,53,8.272691930167467,10.179364854844172,33.92377272279159
53,38531324,47486030,158284458,4667468,54,8.255294733675731,10.173830865042888,33.91227492079217
54,38452958,47391590,158134960,4667592,55,8.238286036997236,10.153327454499022,33.87934506700671
55,38473122,47396030,158119880,4666724,56,8.244139143433381,10.156167367086633,33.88241515889948
56,38515146,47452680,158157634,4663216,57,8.259352772850324,10.175955821047106,33.91600003087998
57,38483074,47409940,158107240,4664588,58,8.250047807008894,10.163800104103514,33.89522075690286
58,38460306,47442450,158264424,4671390,59,8.23316100775144,10.155960003339477,33.8795142345212
59,38592212,47563010,158485034,4671424,60,8.26133787042238,10.181694061596636,33.92649307791372
60,38479280,47364190,157993824,4662508,61,8.252914525830304,10.158521980015905,33.88601671031985
61,38496294,47428180,158203172,4666982,62,8.248648484180997,10.162494734284383,33.898389151704464
62,38489510,47461600,158272412,4669484,63,8.242775861315726,10.164206580427303,33.895053928870944
63,38506856,47475490,158303192,4669020,64,8.247310142171163,10.168191611944263,33.90501475684405
64,38476820,47382460,158076872,4666252,65,8.245765552310505,10.154286566606347,33.87662560873266
65,38486520,47399290,158087704,4664670,66,8.250641524480832,10.161338315464974,33.89043683690379
66,38443960,47381880,158046070,4664500,67,8.2418179869225,10.157976203237217,33.88274627505628
67,38485794,47409950,158109836,4664154,68,8.251398645928072,10.164747990739585,33.89893129600781
68,38549326,47438940,158239054,4669336,69,8.255847512365785,10.159675808294798,33.88898421531455
69,38520394,47466410,158343404,4673078,70,8.243045376088308,10.157418729154532,33.88417740940768
70,38511318,47434380,158156774,4665172,71,8.255069266470775,10.167766590385092,33.90159548243881
71,38537718,47440450,158159124,4664812,72,8.26136573135209,10.169852504238113,33.90471555981249
72,38534780,47483400,158332906,4670530,73,8.250622520356362,10.166597795111047,33.90041515630988
73,38505938,47440690,158180564,4665574,74,8.253204857537357,10.168242964316931,33.90377346924516
74,38564902,47517280,158306714,4665592,75,8.265811069634893,10.184619658126985,33.93068103683305
75,38563022,47506810,158375734,4671616,76,8.25474996232567,10.169245503055045,33.90170210907746
76,38584218,47549500,158374206,4667656,77,8.266294259902615,10.187018923416806,33.930136668169204
77,38517530,47451860,158148354,4663102,78,8.26006593893936,10.17602874652967,33.914839092089345
78,38568650,47518490,158358596,4668606,79,8.26127756336688,10.178303759194929,33.91988872053028
79,38489378,47481050,158294194,4668240,80,8.244944133120834,10.171081606772574,33.90875233492708
80,38592306,47458660,158257240,4669110,81,8.265452302473062,10.164391072388527,33.89451951228393
81,38559994,47504700,158336396,4667192,82,8.26192580035276,10.178432770710954,33.92540868256545
82,38477956,47425400,158221092,4669628,83,8.240047387072375,10.156140917434964,33.88301851881992
83,38585852,47556220,158498910,4671452,84,8.259926892109776,10.180179524481895,33.92926011013278
84,38563210,47497350,158359152,4671486,85,8.255019922996665,10.167503445370489,33.89909591937127
85,38504628,47519350,158404618,4671832,86,8.241869142554783,10.171459504536978,33.906317264833156
86,38425416,47362070,158129370,4669106,87,8.229715924204761,10.14371273644248,33.867162150527314
87,38498684,47379820,158040182,4663504,88,8.255312743379227,10.159703947932714,33.88872015548824
88,38511974,47446580,158153806,4663316,89,8.258495456880897,10.174429526114036,33.91445186215131
89,38590324,47525120,158276648,4663080,90,8.27571562143476,10.19178740231778,33.94251181622447
90,38494910,47412160,158106924,4664008,91,8.253611486086644,10.165540024802702,33.89936809713877
91,38541236,47467340,158237708,4666514,92,8.259106476483302,10.171905623769693,33.90918960063122
92,38474810,47444900,158252382,4668888,93,8.240679579377359,10.161927208363105,33.895090651135774
93,38437808,47406530,158137948,4667422,94,8.23534019422285,10.15689817633803,33.88121922551679
94,38469988,47344730,157972224,4662402,95,8.251109192214656,10.15457912037615,33.882154305870664
95,38479220,47431850,158180634,4666710,96,8.245470577773206,10.1638734783177,33.89553539859987
96,38473468,47411350,158185788,4670256,97,8.237978389193227,10.151766841046829,33.87090300831475
97,38468510,47346390,157961732,4662260,98,8.251043485348308,10.15524445226135,33.880935855143214
98,38460122,47417050,158151478,4666668,99,8.24145235958504,10.160793525487565,33.88959274583065
99,38564662,47431680,158219820,4668298,100,8.260968344351625,10.1603796501423,33.8923993284062
100,38569484,47576020,158432062,4667264,101,8.263831658119189,10.193556653319803,33.94538256246058
101,38553206,47506190,158250632,4663566,102,8.266894046315631,10.186666169193273,33.933396032135065
102,38553124,47542010,158411390,4670796,103,8.254080032611144,10.178566993720128,33.915287672593706
103,38508674,47490760,158327608,4668892,104,8.247925632034324,10.17174096123877,33.91117378598605
104,38492262,47426760,158165434,4666682,105,8.248314755537232,10.162843750656247,33.8924816389889
105,38518188,47551350,158469032,4672262,106,8.244012857155699,10.17737233057564,33.91698325136733
106,38538972,47509120,158272438,4664892,107,8.261492870574495,10.184398695618247,33.9284249238782
107,38537026,47478300,158266478,4667344,108,8.256735736641653,10.172444970844232,33.90932358960471
108,38521430,47469270,158215388,4664846,109,8.25781386995412,10.175956505316574,33.91652972038091
109,38569388,47513310,158306500,4666328,110,8.265468694013794,10.182162505507543,33.92528343485499
110,38454546,47377660,157988548,4660764,111,8.250695808669995,10.165213256882348,33.89756443364221
111,38493248,47384820,158105454,4666608,112,8.24865684025742,10.154017650507607,33.88016606494482
112,38491838,47391490,158090168,4665282,113,8.250699100290186,10.158333408355594,33.88651918576412
113,38544090,47408250,158088330,4663854,114,8.264428946532203,10.165037327497815,33.89650061944478
114,38499264,47436310,158231736,4670018,115,8.243921972035226,10.157628942757823,33.882468118966564
115,38530620,47432900,158115636,4663770,116,8.261689577316206,10.170505835407836,33.90296605535865
116,38558558,47439570,158171748,4665944,117,8.263827855627929,10.167196605874395,33.89919553256533
117,38515308,47459420,158269884,4669154,118,8.248883630739101,10.164458058140726,33.896908090844725
118,38452230,47363770,158025468,4665192,119,8.242368159767057,10.15258750336535,33.87330424985724
119,38603504,47519860,158282302,4663822,120,8.277224988432234,10.189038089361043,33.9383239754862
120,38524524,47438340,158123178,4663684,121,8.26053480467373,10.171859842991077,33.9052084146353
121,38560964,47489040,158247568,4664794,122,8.26638089484766,10.18030806933811,33.92380628169218
122,38540806,47531850,158352006,4667746,123,8.256834455002478,10.183041236605419,33.924726409706096
123,38505284,47399450,158038814,4662366,124,8.25874330758246,10.166394058295724,33.896698371599314
124,38526456,47471830,158236810,4665600,125,8.25755658436214,10.1748606824417,33.91564000342935
125,38465668,47389740,158064670,4665364,126,8.244944660266594,10.157779757377988,33.88045820218958
126,38497962,47436910,158188188,4666858,127,8.249225067486519,10.164635392806037,33.89607911789902
127,38532128,47475560,158298316,4669590,128,8.251715461100439,10.166965408097926,33.89983189102255
128,38438356,47414110,158117120,4664826,129,8.240040678902064,10.164175469781723,33.895609396792075
129,38645174,47544500,158415450,4669372,130,8.276310818671119,10.18220437352175,33.926500180324034
130,38516974,47442160,158202466,4667972,131,8.251329271041044,10.16333431305929,33.89104861811511
131,38447446,47371590,157976642,4660058,132,8.250422205045517,10.165450730441552,33.90014501965426
132,38454716,47371080,158070244,4665194,133,8.242897508656661,10.154150073930474,33.88288761410565
133,38571290,47500700,158288400,4665632,134,8.267109364819172,10.180978696991104,33.92646483906146
134,38521944,47400940,158084190,4663140,135,8.26094520001544,10.165026141183837,33.900802892471596
135,38571872,47514720,158374604,4670666,136,8.25832375939534,10.173007446903718,33.90835568203764
136,38424680,47359410,158027040,4664516,137,8.23765638278441,10.153124139782134,33.878550314759345
137,38457944,47446370,158214966,4666648,138,8.241020964083857,10.167119954194103,33.903342613370455
138,38619604,47499080,158271424,4665864,139,8.277053081701482,10.180125267260255,33.92113957886471
139,38524646,47518090,158365994,4668544,140,8.251961639431908,10.178353251035013,33.92192383749623
140,38496498,47436940,158171090,4665538,141,8.25124519401621,10.167517658199333,33.90200444193145
141,38594966,47499580,158254444,4665346,142,8.27269102870398,10.181362754230875,33.92126628978858
142,38515808,47441330,158225914,4668090,143,8.25087091294298,10.162899601335878,33.895214959437375
143,38457570,47390650,158080106,4664690,144,8.244399949407141,10.159442535302453,33.888662697842726
144,38575250,47559040,158459410,4671884,145,8.256893792739717,10.179841794017147,33.917667904425706
145,38490784,47420690,158156498,4666364,146,8.24856012089927,10.162235522132436,33.89287633797964
146,38546164,47550580,158400976,4668714,147,8.25627014205625,10.18494172056802,33.928181507798506
147,38537108,47493800,158320402,4668952,148,8.253909656813777,10.17226135543908,33.90919461155308
148,38506582,47408070,158170908,4668502,149,8.248166542501213,10.154878374262237,33.88044130644048
149,38465806,47440630,158227060,4667596,150,8.24103157171272,10.163825232517981,33.89904781819163
150,38582620,47473500,158252966,4667350,151,8.266493834831328,10.171403473062872,33.906384993625934
151,38464068,47399820,158132646,4667068,152,8.241591508844525,10.156230849861197,33.8826530918341
152,38370474,47297950,157931450,4664952,153,8.225266626537636,10.139000358417407,33.85489282633562
153,38537114,47511110,158266070,4663634,154,8.26332297946194,10.187572609685922,33.93621154661794
154,38513888,47450370,158175988,4664958,155,8.255998875016667,10.171660709485487,33.90726947595241
155,38526132,47521270,158386158,4669686,156,8.25026179490441,10.17654506105978,33.91794608888049
156,38534442,47455750,158144658,4663436,157,8.26310085524922,10.176134077963116,33.91161752836321
157,38528050,47454040,158235552,4667756,158,8.254083975254918,10.166349740646256,33.89970512597488
158,38551088,47458610,158111582,4660992,159,8.271004970615698,10.1820835564618,33.92230280592629
159,38543036,47479400,158233178,4665074,160,8.26204171680878,10.177630622793979,33.91868553424876
160,38471524,47478200,158297944,4669446,161,8.238991092305168,10.167844322431398,33.90079765351179
161,38531064,47412190,158151178,4667622,162,8.2549666618248,10.15767557869939,33.882601890213046
162,38432150,47434780,158305186,4672954,163,8.224380124435207,10.15091952542225,33.87689799642796
163,38526480,47497300,158328088,4668912,164,8.251704037257502,10.173098143636034,33.91113132995439
164,38491838,47458960,158248358,4668436,165,8.245124919780414,10.165922805839044,33.897510429617114
165,38509476,47451280,158283262,4670650,166,8.24499288107651,10.159459604123622,33.888915247342446
166,38563174,47562470,158406388,4667396,167,8.262246014694275,10.190365248631142,33.9389218313595
167,38487250,47443190,158226328,4667888,168,8.245109994070123,10.163737861748183,33.896770445220625
168,38486080,47406910,158145160,4667142,169,8.246177210806957,10.157588948439965,33.884797162803274
169,38539384,47423900,158106362,4663672,170,8.26374239011663,10.168789743361025,33.90168991301275
170,38391414,47279080,157866300,4662998,171,8.233204045980719,10.13920229002886,33.85510780832417
171,38522220,47447060,158226210,4667018,172,8.254140009744981,10.16646175352227,33.9030640121808
172,38544554,47529330,158349394,4668514,173,8.256278978707144,10.180826275769977,33.91858608542247
173,38463888,47405680,158131354,4665964,174,8.243502950301375,10.159889789119676,33.8903930677562
174,38636758,47544500,158406880,4668788,175,8.275543460101423,10.183478024703627,33.92890831624824
175,38412444,47387420,158061358,4665348,176,8.233564570102809,10.15731731052003,33.8798644817064
176,38445204,47417420,158106568,4663168,177,8.244438973676266,10.168499183387775,33.90539821855013
177,38494732,47434560,158185752,4666566,178,8.249049086630297,10.164767839991978,33.89767807848426
178,38404826,47337420,157978326,4664298,179,8.23378480534477,10.148884140764592,33.869689715365524
179,38465524,47425850,158197226,4668494,180,8.239385977576495,10.158704284508023,33.88613672846104
180,38579076,47530940,158333906,4666724,181,8.266843293068113,10.185076297634058,33.92827730973591
181,38509614,47399890,158145418,4667546,182,8.250505511889974,10.155205754801345,33.88191953544754
182,38575066,47447900,158187926,4664890,183,8.269233786863142,10.171279494264603,33.910322858631176
183,38514828,47409730,158050506,4661278,184,8.262718507671073,10.170972424300803,33.90711860566995
184,38505692,47388850,158053312,4663066,185,8.257591035597608,10.162594739169466,33.894719053944335
185,38484040,47419690,158100580,4662678,186,8.253634499315629,10.17005463383918,33.90767709029017
186,38505002,47407270,158115276,4665312,187,8.253467720915557,10.161650496258343,33.891683128588184
187,38498136,47347750,157969640,4663574,188,8.255071325125323,10.152674751167238,33.87308532040019
188,38565898,47462620,158273530,4668872,189,8.260217457235923,10.165757382082868,33.899736381721326
189,38596172,47472090,158219704,4665276,190,8.273073661665462,10.1756230499546,33.91432875568348
190,38428238,47414590,158175184,4667698,191,8.232802979113044,10.158024362330211,33.88719321601355
191,38436772,47388360,158148500,4668750,192,8.23277579651941,10.150117269076306,33.87384203480589
192,38426992,47338090,158025148,4666862,193,8.234010776406073,10.143451852658167,33.86111438478361
193,38441516,47410670,158119546,4664816,194,8.24073575463641,10.163459823495717,33.8962021224417
194,38492486,47409360,158159884,4667110,195,8.247606334541075,10.158183543991893,33.88818433677372
195,38476644,47376720,158041444,4662978,196,8.251517377950314,10.160185186376603,33.89281356249161
196,38555884,47506650,158266560,4665576,197,8.263906535870383,10.182376195350798,33.922190957772415
197,38533988,47436540,158156318,4664486,198,8.261143457178347,10.169725024364956,33.90648358683036
198,38472500,47449200,158181010,4666376,199,8.244620664944273,10.16831905530116,33.898042078049436
199,38490228,47384940,158145468,4668730,200,8.244260858948794,10.14942821709544,33.873337717109365
200,38494368,47431020,158235058,4669312,201,8.244119904602648,10.158031847090106,33.88830260218208
201,38571110,47536390,158391408,4668278,202,8.262384973645528,10.18285329194191,33.92930069717356
202,38526436,47411490,158189984,4668762,203,8.251959727225334,10.155045384622305,33.88264040874219
203,38452314,47418460,158119796,4664078,204,8.24435483283084,10.166738206350752,33.9016191410178
204,38568768,47496030,158301936,4667866,205,8.262612508585294,10.1751057121177,33.91312775473846
205,38511298,47436250,158155622,4664510,206,8.256236560753434,10.169610527150763,33.90615991819077
206,38385934,47282350,157887542,4664240,207,8.229836800850729,10.137203488671252,33.85064705075211
207,38471594,47398340,158097370,4665202,208,8.246501223312517,10.159975923872107,33.88864405013974
208,38515416,47478790,158326006,4670548,209,8.246444742672594,10.165571577467997,33.89880716352771
209,38531646,47480290,158279390,4667538,210,8.255239914490252,10.172448515684286,33.91068053436308
210,38515108,47464730,158236888,4667220,211,8.252258946439207,10.169807722798582,33.903884539404615
211,38554930,47431890,158216880,4668174,212,8.25910302400896,10.1606945242401,33.89266981050835
212,38484666,47405630,158106610,4665722,213,8.24838385141678,10.160406042194541,33.88684752327721
213,38528956,47399150,158037668,4661462,214,8.26542316552189,10.168301275436763,33.90302613214481
214,38473248,47382600,158110994,4666052,215,8.245353459412797,10.154751811595755,33.885390475716946
215,38519298,47386120,158121650,4668198,216,8.251427638673423,10.150837646560836,33.8720958279833
216,38491340,47421310,158088760,4662780,217,8.255019537700685,10.170179592431982,33.90440037917294
217,38516978,47475820,158152182,4660756,218,8.26410522241456,10.186291665987234,33.93273151394323
218,38538926,47466730,158271310,4669156,219,8.25393839914537,10.166019297706052,33.89719897985846
219,38500670,47510790,158330356,4668402,220,8.247076836999042,10.177099144418154,33.9153217739175
220,38453504,47436290,158235758,4669268,221,8.235445898586246,10.159256226029433,33.88877185888666
221,38483396,47420940,158175972,4667042,222,8.245778803790495,10.160812780343523,33.8921252476408
222,38465178,47417420,158130904,4664688,223,8.246034461468806,10.165185753045005,33.899567130749155
223,38554636,47492560,158285960,4667770,224,8.25975487224092,10.174571583432774,33.91040261195389
224,38517870,47451870,158169298,4664594,225,8.257496793933191,10.172776022950766,33.90848120972586
225,38570186,47428980,158143160,4665346,226,8.267379525548588,10.166229900204614,33.897412967869904
226,38510058,47412270,158149536,4667952,227,8.24988303221627,10.156974621847011,33.879854805704944
227,38384684,47349720,158009664,4664104,228,8.229808769272726,10.151943438654026,33.87781747576812
228,38566566,47468810,158232972,4665938,229,8.265554750191708,10.173476372810784,33.9123606014482
229,38502410,47484220,158327150,4670192,230,8.24428845751952,10.1675091730704,33.90163616399497
230,38385376,47314470,157962724,4664920,231,8.22851753084726,10.142611234490623,33.86182914176449
231,38484604,47441610,158223472,4667904,232,8.244514882911046,10.163364542201382,33.896042420752444
232,38544368,47478520,158302606,4668988,233,8.255400956267183,10.168910264922506,33.90512162378657
233,38544506,47472760,158284170,4668676,234,8.255982209945604,10.168356082109788,33.90343857659002
234,38498388,47423640,158096966,4662158,235,8.257632624205357,10.172036211556966,33.91068385069747
235,38549512,47530540,158320972,4664828,236,8.263865677362595,10.189130231596964,33.93929465352206
236,38502622,47437290,158190572,4666226,237,8.251341019487697,10.166093541118668,33.901180954372975
237,38522850,47418150,158139908,4666338,238,8.25547785008287,10.16174782023934,33.889509932628116
238,38535432,47456650,158271324,4669580,239,8.25244069059744,10.162937566119437,33.89412409681385
239,38473552,47395030,158106598,4665898,240,8.245690754491418,10.157750983840623,33.88556672263303
240,38555894,47499160,158333954,4668946,241,8.257943869986931,10.17342243838331,33.912140770101004
241,38509050,47526760,158384876,4669154,242,8.24754334511134,10.178880371047946,33.92153610696927
242,38545424,47476940,158229810,4665574,243,8.261668124865237,10.17601264067401,33.91432865495221
243,38488656,47445650,158127886,4663190,244,8.253718162888495,10.17450500622964,33.90980980830719
244,38579456,47482960,158290636,4668208,245,8.264296706573486,10.171560478881831,33.9082225984789
245,38503670,47386590,158085448,4665034,246,8.253674035387524,10.157823072672139,33.88730885991399
246,38445628,47372290,158090640,4668242,247,8.235568764429951,10.147779399611245,33.865133812685805
247,38492960,47405920,158106422,4665792,248,8.250037721355774,10.160315762039971,33.88629883200966
248,38591264,47590910,158492526,4670538,249,8.26270206986861,10.189599142539896,33.934533023818666
249,38534556,47466170,158237056,4668450,250,8.254250554252483,10.167436729535499,33.89498784393107
250,38506608,47447050,158239964,4668254,251,8.248610294127097,10.163767866958397,33.89703388033299
